,period,stateRegionId,stateRegionDescription,coalRankId,coalRankDescription,mineTypeId,mineTypeDescription,average-employees,labor-hours,number-of-mines,production,productivity,average-employees-units,labor-hours-units,number-of-mines-units,production-units,productivity-units
1559,2006,ND,North Dakota,LIG,Lignite,SUR,Surface,,,4.0,30411056,,number of employees,hours,number of mines,short tons,short tons per labor hour
1560,2006,ND,North Dakota,TOT,All,SUR,Surface,947.0,1798228.0,4.0,30411056,16.91,number of employees,hours,number of mines,short tons,short tons per labor hour
1561,2006,ND,North Dakota,LIG,Lignite,ALL,All,,,4.0,30411056,,number of employees,hours,number of mines,short tons,short tons per labor hour
1562,2006,ND,North Dakota,TOT,All,ALL,All,947.0,1798228.0,4.0,30411056,16.91,number of employees,hours,number of mines,short tons,short tons per labor hour
1563,2006,MO,Missouri,BIT,Bituminous,SUR,Surface,,,2.0,394100,,number of employees,hours,number of mines,short tons,short tons per labor hour
1564,2006,MO,Missouri,TOT,All,SUR,Surface,20.0,38623.0,2.0,394100,10.2,number of employees,hours,number of mines,short tons,short tons per labor hour
1565,2006,MO,Missouri,BIT,Bituminous,ALL,All,,,2.0,394100,,number of employees,hours,number of mines,short tons,short tons per labor hour
1566,2006,MO,Missouri,TOT,All,ALL,All,20.0,38623.0,2.0,394100,10.2,number of employees,hours,number of mines,short tons,short tons per labor hour
1567,2006,KS,Kansas,BIT,Bituminous,SUR,Surface,,,2.0,425997,,number of employees,hours,number of mines,short tons,short tons per labor hour
1568,2006,KS,Kansas,TOT,All,SUR,Surface,61.0,116879.0,2.0,425997,3.64,number of employees,hours,number of mines,short tons,short tons per labor hour
1569,2006,KS,Kansas,BIT,Bituminous,ALL,All,,,2.0,425997,,number of employees,hours,number of mines,short tons,short tons per labor hour
1570,2006,KS,Kansas,TOT,All,ALL,All,61.0,116879.0,2.0,425997,3.64,number of employees,hours,number of mines,short tons,short tons per labor hour
1571,2006,WNC,West North Central,LIG,Lignite,SUR,Surface,,,4.0,30411056,,number of employees,hours,number of mines,short tons,short tons per labor hour
1572,2006,WNC,West North Central,BIT,Bituminous,SUR,Surface,,,4.0,820097,,number of employees,hours,number of mines,short tons,short tons per labor hour
1573,2006,WNC,West North Central,TOT,All,SUR,Surface,1028.0,1953730.0,8.0,31231153,15.99,number of employees,hours,number of mines,short tons,short tons per labor hour
1574,2006,WNC,West North Central,LIG,Lignite,ALL,All,,,4.0,30411056,,number of employees,hours,number of mines,short tons,short tons per labor hour
1575,2006,WNC,West North Central,BIT,Bituminous,ALL,All,,,4.0,820097,,number of employees,hours,number of mines,short tons,short tons per labor hour
