,period,average-employees,labor-hours,number-of-mines,production,productivity,GDP
2543,2003,451.0,933559.0,16.0,5055769,5.42,11456.442041
2545,2003,13953.0,30280853.0,236.0,111317831,3.68,11456.442041
2547,2003,6123.0,14199484.0,152.0,65045560,4.58,11456.442041
2549,2003,20076.0,44480337.0,388.0,176363391,3.96,11456.442041
2551,2003,917.0,1739511.0,4.0,30775437,17.69,11456.442041
2553,2003,917.0,1739511.0,4.0,30775437,17.69,11456.442041
2555,2003,19.0,42432.0,2.0,533441,12.57,11456.442041
2557,2003,19.0,42432.0,2.0,533441,12.57,11456.442041
2559,2003,8.0,17659.0,1.0,153652,8.7,11456.442041
2561,2003,8.0,17659.0,1.0,153652,8.7,11456.442041
2564,2003,944.0,1799602.0,7.0,31462530,17.48,11456.442041
2567,2003,944.0,1799602.0,7.0,31462530,17.48,11456.442041
2569,2003,1203.0,2850250.0,7.0,12827720,4.5,11456.442041
2571,2003,1203.0,2797837.0,47.0,9181541,3.28,11456.442041
2573,2003,2406.0,5648087.0,54.0,22009261,3.9,11456.442041
2575,2003,1060.0,2413174.0,8.0,8634542,3.58,11456.442041
2577,2003,1712.0,4317711.0,23.0,26720406,6.19,11456.442041
2579,2003,2772.0,6730885.0,31.0,35354948,5.25,11456.442041
2581,2003,3188.0,6987694.0,14.0,25984676,3.72,11456.442041
2583,2003,467.0,1113884.0,8.0,5655348,5.08,11456.442041
2585,2003,3655.0,8101578.0,22.0,31640024,3.91,11456.442041
2587,2003,5451.0,12251118.0,29.0,47446938,3.87,11456.442041
2589,2003,3382.0,8229432.0,78.0,41557295,5.05,11456.442041
2591,2003,8833.0,20480550.0,107.0,89004233,4.35,11456.442041
2593,2003,4364.0,10117213.0,36.0,51930347,5.13,11456.442041
2595,2003,1742.0,3582869.0,142.0,10534643,2.94,11456.442041
2597,2003,6106.0,13700082.0,178.0,62464990,4.56,11456.442041
2599,2003,243.0,402674.0,22.0,282085,0.7,11456.442041
2601,2003,571.0,1121089.0,41.0,960806,0.86,11456.442041
2603,2003,814.0,1523763.0,63.0,1242891,0.82,11456.442041
2606,2003,4607.0,10519887.0,58.0,52212432,4.96,11456.442041
2609,2003,2313.0,4703958.0,183.0,11495449,2.44,11456.442041
2611,2003,15679.0,34378893.0,603.0,131603308,3.83,11456.442041
2614,2003,46423.0,101453632.0,1124.0,376071378,3.71,11456.442041
2616,2003,81.0,177724.0,1.0,1081323,6.08,11456.442041
2618,2003,81.0,177724.0,1.0,1081323,6.08,11456.442041
2620,2003,81.0,177724.0,1.0,1081323,6.08,11456.442041
2622,2003,81.0,177724.0,1.0,1081323,6.08,11456.442041
2624,2003,577.0,1266745.0,1.0,6231874,4.92,11456.442041
2626,2003,577.0,1266745.0,1.0,6231874,4.92,11456.442041
2628,2003,577.0,1266745.0,1.0,6231874,4.92,11456.442041
2630,2003,577.0,1266745.0,1.0,6231874,4.92,11456.442041
2634,2003,6920.0,15223845.0,241.0,63707881,4.18,11456.442041
2637,2003,4607.0,10519887.0,58.0,52212432,4.96,11456.442041
2640,2003,2313.0,4703958.0,183.0,11495449,2.44,11456.442041
2643,2003,6920.0,15223845.0,241.0,63707881,4.18,11456.442041
2644,2003,2919.0,6210291.0,26.0,57106389,9.2,11456.442041
2647,2003,2974.0,6331600.0,28.0,57500125,9.08,11456.442041
2649,2003,22.0,43421.0,2.0,7564,0.17,11456.442041
2650,2003,1515.0,3146825.0,13.0,23044160,7.32,11456.442041
2653,2003,55.0,121309.0,2.0,393736,3.25,11456.442041
2654,2003,37.0,47166.0,1.0,25083,0.53,11456.442041
2656,2003,1552.0,3193991.0,14.0,23069243,7.22,11456.442041
2658,2003,252.0,508275.0,1.0,5890246,11.59,11456.442041
2661,2003,1163.0,2390548.0,4.0,20498619,8.57,11456.442041
2664,2003,1415.0,2898823.0,5.0,26388865,9.1,11456.442041
2666,2003,15.0,37518.0,1.0,31926,0.85,11456.442041
2669,2003,742.0,1497444.0,6.0,36962172,24.68,11456.442041
2672,2003,757.0,1534962.0,7.0,36994098,24.1,11456.442041
2674,2003,1521.0,2972216.0,8.0,27177469,9.14,11456.442041
2677,2003,597.0,1193196.0,4.0,8653716,7.25,11456.442041
2680,2003,2118.0,4165412.0,12.0,35831185,8.6,11456.442041
2682,2003,661.0,1477848.0,2.0,12059094,8.16,11456.442041
2684,2003,661.0,1477848.0,2.0,12059094,8.16,11456.442041
2687,2003,3303.0,6664834.0,23.0,56143801,8.42,11456.442041
2691,2003,8000.0,16511344.0,35.0,454468671,27.52,11456.442041
2695,2003,11303.0,23176178.0,58.0,510612472,22.03,11456.442041
2698,2003,2369.0,5003051.0,13.0,47516757,9.5,11456.442041
2701,2003,2369.0,5003051.0,13.0,47516757,9.5,11456.442041
2703,2003,36.0,83942.0,1.0,392736,4.68,11456.442041
2705,2003,6076.0,13619673.0,36.0,52172815,3.83,11456.442041
2708,2003,5541.0,12622405.0,70.0,93818745,7.43,11456.442041
2711,2003,11617.0,26242078.0,106.0,145991560,5.56,11456.442041
2713,2003,55.0,121309.0,2.0,393736,3.25,11456.442041
2718,2003,324.0,671207.0,3.0,6316117,9.41,11456.442041
2722,2003,4226.0,8654008.0,19.0,84278196,9.74,11456.442041
2726,2003,4550.0,9325215.0,22.0,90594313,9.71,11456.442041
2728,2003,111.0,260752.0,6.0,1172480,4.5,11456.442041
2730,2003,147.0,344694.0,7.0,1565216,4.54,11456.442041
2732,2003,214.0,458925.0,2.0,4028110,8.78,11456.442041
2734,2003,214.0,458925.0,2.0,4028110,8.78,11456.442041
2736,2003,19.0,37367.0,1.0,1000,0.03,11456.442041
