,period,average-employees,labor-hours,number-of-mines,production,productivity,GDP
1328,2018,1459.0,3409765.0,12.0,17242414,5.06,20533.057312
1330,2018,2923.0,7212326.0,18.0,34598207,4.8,20533.057312
1332,2018,2729.0,6437740.0,9.0,46072226,7.16,20533.057312
1334,2018,350.0,830181.0,9.0,3491229,4.21,20533.057312
1336,2018,3079.0,7267921.0,18.0,49563455,6.82,20533.057312
1338,2018,4884.0,11814234.0,20.0,69946171,5.92,20533.057312
1340,2018,2240.0,5125129.0,32.0,23208262,4.53,20533.057312
1342,2018,7124.0,16939363.0,52.0,93154433,5.5,20533.057312
1344,2018,3776.0,8706092.0,30.0,44562799,5.12,20533.057312
1346,2018,709.0,1428006.0,71.0,3509218,2.46,20533.057312
1348,2018,4485.0,10134098.0,101.0,48072017,4.74,20533.057312
1350,2018,78.0,122095.0,9.0,71633,0.59,20533.057312
1352,2018,822.0,1628832.0,41.0,1739242,1.07,20533.057312
1354,2018,900.0,1750927.0,50.0,1810875,1.03,20533.057312
1357,2018,3854.0,8828187.0,39.0,44634432,5.06,20533.057312
1360,2018,1531.0,3056838.0,112.0,5248460,1.72,20533.057312
1363,2018,5385.0,11885025.0,151.0,49882892,4.2,20533.057312
1366,2018,3854.0,8828187.0,39.0,44634432,5.06,20533.057312
1369,2018,1531.0,3056838.0,112.0,5248460,1.72,20533.057312
1372,2018,5385.0,11885025.0,151.0,49882892,4.2,20533.057312
1373,2018,2186.0,4384108.0,139.0,9218702,2.1,20533.057312
1376,2018,10944.0,24618904.0,196.0,106288762,4.32,20533.057312
1378,2018,11450.0,26553307.0,135.0,45305851,1.71,20533.057312
1380,2018,5322.0,12209867.0,192.0,33799070,2.77,20533.057312
1382,2018,16772.0,38763174.0,327.0,79104921,2.04,20533.057312
1385,2018,22548.0,52343829.0,199.0,154575316,2.95,20533.057312
1388,2018,8072.0,17917436.0,354.0,45601484,2.55,20533.057312
1391,2018,30620.0,70261265.0,553.0,200176800,2.85,20533.057312
1393,2018,99.0,184329.0,1.0,901641,4.89,20533.057312
1395,2018,99.0,184329.0,1.0,901641,4.89,20533.057312
1397,2018,99.0,184329.0,1.0,901641,4.89,20533.057312
1399,2018,99.0,184329.0,1.0,901641,4.89,20533.057312
1401,2018,169.0,345251.0,1.0,2210433,6.4,20533.057312
1404,2018,5389.0,11075628.0,15.0,301977169,27.27,20533.057312
1407,2018,5558.0,11420879.0,16.0,304187602,26.63,20533.057312
1409,2018,1314.0,2838677.0,7.0,13125170,4.62,20533.057312
1411,2018,49.0,139145.0,1.0,493532,3.55,20533.057312
1413,2018,1363.0,2977822.0,8.0,13618702,4.57,20533.057312
1415,2018,313.0,501183.0,1.0,1848018,3.69,20533.057312
1417,2018,592.0,1251966.0,2.0,8944028,7.14,20533.057312
1419,2018,905.0,1753149.0,3.0,10792046,6.16,20533.057312
1421,2018,264.0,604912.0,1.0,7566480,12.51,20533.057312
1424,2018,1047.0,2065407.0,5.0,31043660,15.03,20533.057312
1428,2018,1311.0,2670319.0,6.0,38610140,14.46,20533.057312
1430,2018,830.0,1804637.0,4.0,10414151,5.77,20533.057312
1432,2018,428.0,864486.0,2.0,3611357,4.18,20533.057312
1435,2018,1258.0,2669123.0,6.0,14025508,5.25,20533.057312
1437,2018,416.0,1003422.0,1.0,6550417,6.53,20533.057312
1439,2018,416.0,1003422.0,1.0,6550417,6.53,20533.057312
1442,2018,2890.0,6094660.0,14.0,35164252,5.77,20533.057312
1446,2018,7921.0,16400054.0,26.0,352620163,21.5,20533.057312
1450,2018,10811.0,22494714.0,40.0,387784415,17.24,20533.057312
1453,2018,1646.0,3687353.0,9.0,24822522,6.73,20533.057312
1456,2018,1646.0,3687353.0,9.0,24822522,6.73,20533.057312
1458,2018,75.0,176737.0,1.0,206183,1.17,20533.057312
1460,2018,69.0,155200.0,4.0,403864,2.6,20533.057312
1462,2018,144.0,331937.0,5.0,610047,1.84,20533.057312
1464,2018,322.0,725463.0,2.0,1483241,2.04,20533.057312
1466,2018,322.0,725463.0,2.0,1483241,2.04,20533.057312
1468,2018,75.0,176737.0,1.0,206183,1.17,20533.057312
1471,2018,2037.0,4568016.0,15.0,26709627,5.85,20533.057312
1474,2018,2112.0,4744753.0,16.0,26915810,5.67,20533.057312
1476,2018,55.0,138774.0,1.0,173801,1.25,20533.057312
1478,2018,35.0,49886.0,3.0,58229,1.17,20533.057312
1480,2018,90.0,188660.0,4.0,232030,1.23,20533.057312
1482,2018,199.0,420424.0,1.0,2939738,6.99,20533.057312
1484,2018,199.0,420424.0,1.0,2939738,6.99,20533.057312
1486,2018,2306.0,5928633.0,7.0,21987608,3.71,20533.057312
1488,2018,75.0,174498.0,6.0,671516,3.85,20533.057312
1490,2018,2381.0,6103131.0,13.0,22659124,3.71,20533.057312
1492,2018,2623.0,6076877.0,53.0,8975929,1.48,20533.057312
1494,2018,1498.0,3354323.0,79.0,7931971,2.36,20533.057312
1496,2018,4121.0,9431200.0,132.0,16907900,1.79,20533.057312
1498,2018,4929.0,12005510.0,60.0,30963537,2.58,20533.057312
1500,2018,1573.0,3528821.0,85.0,8603487,2.44,20533.057312
1502,2018,6502.0,15534331.0,145.0,39567024,2.55,20533.057312
1504,2018,2340.0,5555726.0,7.0,12199405,2.2,20533.057312
1506,2018,564.0,1323461.0,23.0,2583712,1.95,20533.057312
1508,2018,2904.0,6879187.0,30.0,14783117,2.15,20533.057312
1510,2018,7324.0,17700010.0,68.0,43336743,2.45,20533.057312
1513,2018,2371.0,5322592.0,112.0,14185166,2.67,20533.057312
1516,2018,9695.0,23022602.0,180.0,57521909,2.5,20533.057312
1518,2018,6725.0,15661578.0,58.0,26724116,1.71,20533.057312
1520,2018,3106.0,7327191.0,82.0,22525636,3.07,20533.057312
1522,2018,9831.0,22988769.0,140.0,49249752,2.14,20533.057312
1524,2018,4042.0,9489657.0,11.0,45481668,4.79,20533.057312
1526,2018,89.0,202869.0,4.0,633323,3.12,20533.057312
1528,2018,4131.0,9692526.0,15.0,46114991,4.76,20533.057312
1530,2018,10767.0,25151235.0,69.0,72205784,2.87,20533.057312
1535,2017,9725.0,22190555.0,189.0,57679850,2.6,19477.336549
1537,2017,6295.0,14331785.0,55.0,25944326,1.81,19477.336549
1539,2017,2681.0,6284367.0,70.0,20092307,3.2,19477.336549
1541,2017,8976.0,20616152.0,125.0,46036633,2.23,19477.336549
1543,2017,4212.0,9836893.0,11.0,46607559,4.74,19477.336549
1545,2017,34.0,48333.0,4.0,146582,3.03,19477.336549
1547,2017,4246.0,9885226.0,15.0,46754141,4.73,19477.336549
1549,2017,10507.0,24168678.0,66.0,72551885,3.0,19477.336549
1551,2017,2715.0,6332700.0,74.0,20238889,3.2,19477.336549
1553,2017,13222.0,30501378.0,140.0,92790774,3.04,19477.336549
1555,2017,1984.0,4486641.0,25.0,9819993,2.19,19477.336549
1557,2017,676.0,1587087.0,27.0,3381856,2.13,19477.336549
1559,2017,2660.0,6073728.0,52.0,13201849,2.17,19477.336549
1564,2017,31487.0,72388353.0,237.0,273128860,3.77,19477.336549
1569,2017,21509.0,45841136.0,434.0,500781669,10.92,19477.336549
1572,2017,55.0,71183.0,9.0,698828,9.82,19477.336549
1577,2017,53051.0,118300672.0,680.0,774609357,6.55,19477.336549
1580,2017,2975.0,6227836.0,16.0,37989588,6.1,19477.336549
1584,2017,11642.0,24126880.0,53.0,432189834,17.91,19477.336549
1588,2017,14617.0,30354716.0,69.0,470179422,15.49,19477.336549
1591,2017,28512.0,66160517.0,221.0,235139272,3.55,19477.336549
1595,2017,9867.0,21714256.0,381.0,68591835,3.16,19477.336549
1599,2017,38379.0,87874773.0,602.0,303731107,3.46,19477.336549
1602,2017,2830.0,5960218.0,14.0,37646445,6.32,19477.336549
1606,2017,7942.0,16535660.0,29.0,364436233,22.04,19477.336549
1610,2017,10772.0,22495878.0,43.0,402082678,17.87,19477.336549
1612,2017,17891.0,41526050.0,138.0,115971289,2.79,19477.336549
1615,2017,7934.0,17307637.0,225.0,75372613,4.35,19477.336549
1618,2017,25825.0,58833687.0,363.0,191343902,3.25,19477.336549
1620,2017,4863.0,11414797.0,21.0,66102492,5.79,19477.336549
1623,2017,3418.0,7341999.0,39.0,52094264,7.1,19477.336549
1626,2017,8281.0,18756796.0,60.0,118196756,6.3,19477.336549
1629,2017,5903.0,13487288.0,64.0,53408634,3.96,19477.336549
1632,2017,2215.0,4655840.0,141.0,8878559,1.91,19477.336549
1635,2017,8118.0,18143128.0,205.0,62287193,3.43,19477.336549
1638,2017,913.0,1862458.0,4.0,13473679,7.23,19477.336549
1642,2017,3098.0,6255514.0,16.0,54962365,8.79,19477.336549
1646,2017,4011.0,8117972.0,20.0,68436044,8.43,19477.336549
1648,2017,1917.0,4097760.0,10.0,24172766,5.9,19477.336549
1650,2017,442.0,923831.0,2.0,3895622,4.22,19477.336549
1653,2017,2359.0,5021591.0,12.0,28068388,5.59,19477.336549
1655,2017,5657.0,11741133.0,16.0,334365751,28.48,19477.336549
1657,2017,5657.0,11741133.0,16.0,334365751,28.48,19477.336549
1660,2017,2830.0,5960218.0,14.0,37646445,6.32,19477.336549
1664,2017,9197.0,18920478.0,34.0,393223738,20.78,19477.336549
1668,2017,12027.0,24880696.0,48.0,430870183,17.32,19477.336549
1670,2017,145.0,267618.0,2.0,343143,1.28,19477.336549
1673,2017,2825.0,5850506.0,21.0,41569764,7.11,19477.336549
1676,2017,2970.0,6118124.0,23.0,41912907,6.85,19477.336549
1678,2017,6445.0,15353791.0,21.0,80854747,5.27,19477.336549
1680,2017,1967.0,4554906.0,28.0,22426823,4.92,19477.336549
1682,2017,8412.0,19908697.0,49.0,103281570,5.19,19477.336549
1684,2017,6590.0,15621409.0,23.0,81197890,5.2,19477.336549
1687,2017,4792.0,10405412.0,49.0,63996587,6.15,19477.336549
1690,2017,11382.0,26026821.0,72.0,145194477,5.58,19477.336549
1692,2017,2055.0,4748875.0,7.0,10490757,2.21,19477.336549
1694,2017,545.0,1222703.0,23.0,2369901,1.94,19477.336549
1696,2017,2600.0,5971578.0,30.0,12860658,2.15,19477.336549
1699,2017,8996.0,20773855.0,59.0,97741198,4.71,19477.336549
1702,2017,2097.0,4215295.0,141.0,9395565,2.23,19477.336549
1705,2017,11093.0,24989150.0,200.0,107136763,4.29,19477.336549
1707,2017,11016.0,25283996.0,134.0,46052570,1.82,19477.336549
1709,2017,4878.0,11077248.0,187.0,31795878,2.87,19477.336549
1711,2017,15894.0,36361244.0,321.0,77848448,2.14,19477.336549
1714,2017,22067.0,50806726.0,200.0,154284525,3.04,19477.336549
1717,2017,7520.0,16515246.0,351.0,43561344,2.64,19477.336549
1720,2017,29587.0,67321972.0,551.0,197845869,2.94,19477.336549
1722,2017,102.0,183149.0,1.0,959068,5.24,19477.336549
1724,2017,102.0,183149.0,1.0,959068,5.24,19477.336549
1726,2017,102.0,183149.0,1.0,959068,5.24,19477.336549
1727,2017,172.0,400115.0,2.0,744470,1.86,19477.336549
1729,2017,131.0,300412.0,12.0,1063914,3.54,19477.336549
1731,2017,303.0,700527.0,14.0,1808384,2.58,19477.336549
1733,2017,12663.0,29055434.0,93.0,83116348,2.86,19477.336549
1735,2017,3522.0,8220199.0,113.0,24684659,3.0,19477.336549
1737,2017,16185.0,37275633.0,206.0,107801007,2.89,19477.336549
1739,2017,1255.0,2384818.0,5.0,28787505,12.07,19477.336549
1741,2017,1255.0,2384818.0,5.0,28787505,12.07,19477.336549
1743,2017,15.0,32793.0,1.0,244345,7.45,19477.336549
1745,2017,15.0,32793.0,1.0,244345,7.45,19477.336549
1748,2017,1270.0,2417611.0,6.0,29031850,12.01,19477.336549
1751,2017,1270.0,2417611.0,6.0,29031850,12.01,19477.336549
1753,2017,693.0,1536200.0,7.0,6800528,4.43,19477.336549
1755,2017,393.0,797797.0,11.0,2688366,3.37,19477.336549
1757,2017,1086.0,2333997.0,18.0,9488894,4.07,19477.336549
1759,2017,1312.0,3198792.0,4.0,14396119,4.5,19477.336549
1761,2017,1478.0,3430912.0,14.0,17075748,4.98,19477.336549
1763,2017,2790.0,6629704.0,18.0,31471867,4.75,19477.336549
1765,2017,2858.0,6679805.0,10.0,44905845,6.72,19477.336549
1767,2017,277.0,695679.0,8.0,3298300,4.74,19477.336549
1769,2017,3135.0,7375484.0,18.0,48204145,6.54,19477.336549
1771,2017,4863.0,11414797.0,21.0,66102492,5.79,19477.336549
1773,2017,102.0,183149.0,1.0,959068,5.24,19477.336549
1775,2017,230.0,499300.0,1.0,1715801,3.44,19477.336549
1778,2017,5470.0,11299408.0,16.0,314738644,27.85,19477.336549
1781,2017,5700.0,11798708.0,17.0,316454445,26.82,19477.336549
1783,2017,1191.0,2551270.0,7.0,13601793,5.33,19477.336549
1785,2017,49.0,131819.0,1.0,723944,5.49,19477.336549
1787,2017,1240.0,2683089.0,8.0,14325737,5.34,19477.336549
1789,2017,349.0,619954.0,1.0,5327442,8.59,19477.336549
1792,2017,580.0,1236362.0,2.0,8516241,6.89,19477.336549
1795,2017,929.0,1856316.0,3.0,13843683,7.46,19477.336549
1797,2017,252.0,565058.0,1.0,5883820,10.41,19477.336549
1800,2017,894.0,1830855.0,5.0,29348023,16.03,19477.336549
1804,2017,1146.0,2395913.0,6.0,35231843,14.7,19477.336549
1806,2017,808.0,1724636.0,4.0,11117589,6.45,19477.336549
1809,2017,445.0,917498.0,3.0,3928921,4.28,19477.336549
1812,2017,1253.0,2642134.0,7.0,15046510,5.69,19477.336549
1814,2017,402.0,936569.0,1.0,6221392,6.64,19477.336549
1816,2017,402.0,936569.0,1.0,6221392,6.64,19477.336549
1819,2017,2830.0,5960218.0,14.0,37646445,6.32,19477.336549
1820,2017,2055.0,4748875.0,7.0,10490757,2.21,19477.336549
1822,2017,545.0,1222703.0,23.0,2369901,1.94,19477.336549
1824,2017,2600.0,5971578.0,30.0,12860658,2.15,19477.336549
1826,2017,7067.0,16689639.0,68.0,42331791,2.54,19477.336549
1829,2017,2658.0,5500916.0,121.0,15348059,2.79,19477.336549
1833,2017,7840.0,16352511.0,28.0,363477165,22.23,19477.336549
1837,2017,10670.0,22312729.0,42.0,401123610,17.98,19477.336549
1840,2017,1993.0,4242555.0,10.0,36382244,8.58,19477.336549
1843,2017,1993.0,4242555.0,10.0,36382244,8.58,19477.336549
1845,2017,84.0,200934.0,1.0,319250,1.59,19477.336549
1847,2017,102.0,133649.0,4.0,242095,1.81,19477.336549
1849,2017,186.0,334583.0,5.0,561345,1.68,19477.336549
1851,2017,325.0,779302.0,2.0,2078567,2.67,19477.336549
1853,2017,325.0,779302.0,2.0,2078567,2.67,19477.336549
1855,2017,61.0,66684.0,1.0,23893,0.36,19477.336549
1857,2017,2148.0,4924388.0,33.0,23062414,4.68,19477.336549
1859,2017,7011.0,16339185.0,54.0,89164906,5.46,19477.336549
1861,2017,3837.0,8870734.0,29.0,43510125,4.9,19477.336549
1863,2017,707.0,1456589.0,67.0,3708703,2.55,19477.336549
1865,2017,4544.0,10327323.0,96.0,47218828,4.57,19477.336549
1867,2017,82.0,129913.0,10.0,78516,0.6,19477.336549
1869,2017,832.0,1612164.0,47.0,1788000,1.11,19477.336549
1871,2017,914.0,1742077.0,57.0,1866516,1.07,19477.336549
1874,2017,3919.0,9000647.0,39.0,43588641,4.84,19477.336549
1877,2017,1539.0,3068753.0,114.0,5496703,1.79,19477.336549
1880,2017,5458.0,12069400.0,153.0,49085344,4.07,19477.336549
1883,2017,3919.0,9000647.0,39.0,43588641,4.84,19477.336549
1886,2017,1539.0,3068753.0,114.0,5496703,1.79,19477.336549
1889,2017,5458.0,12069400.0,153.0,49085344,4.07,19477.336549
1891,2017,10.0,18103.0,2.0,18845,1.04,19477.336549
1893,2017,71.0,84787.0,3.0,42738,0.5,19477.336549
1895,2017,145.0,267618.0,2.0,343143,1.28,19477.336549
1898,2017,2430.0,5173609.0,18.0,38721751,7.48,19477.336549
1901,2017,2575.0,5441227.0,20.0,39064894,7.18,19477.336549
1903,2017,99.0,219715.0,3.0,329246,1.5,19477.336549
1905,2017,49.0,65171.0,3.0,101866,1.56,19477.336549
1907,2017,148.0,284886.0,6.0,431112,1.51,19477.336549
1909,2017,380.0,644104.0,2.0,2603668,4.04,19477.336549
1911,2017,380.0,644104.0,2.0,2603668,4.04,19477.336549
1913,2017,2275.0,5475194.0,7.0,21552783,3.94,19477.336549
1915,2017,212.0,428315.0,6.0,2052775,4.79,19477.336549
1917,2017,2487.0,5903509.0,13.0,23605558,4.0,19477.336549
1919,2017,2638.0,6245855.0,51.0,9959005,1.59,19477.336549
1921,2017,1472.0,3140623.0,87.0,8219849,2.62,19477.336549
1923,2017,4110.0,9386478.0,138.0,18178854,1.94,19477.336549
1925,2017,4913.0,11721049.0,58.0,31511788,2.69,19477.336549
1927,2017,1684.0,3568938.0,93.0,10272624,2.88,19477.336549
1929,2017,6597.0,15289987.0,151.0,41784412,2.73,19477.336549
1930,2016,5202.0,10727669.0,172.0,45719786,4.26,18695.110842
1934,2016,30006.0,65797824.0,253.0,252106254,3.83,18695.110842
1939,2016,21690.0,44296561.0,442.0,475407370,10.73,18695.110842
1942,2016,99.0,153331.0,15.0,850874,5.55,18695.110842
1947,2016,51795.0,110247716.0,710.0,728364498,6.61,18695.110842
1950,2016,3093.0,6486079.0,17.0,33609787,5.18,18695.110842
1954,2016,12215.0,24980751.0,56.0,413123740,16.54,18695.110842
1958,2016,15308.0,31466830.0,73.0,446733527,14.2,18695.110842
1961,2016,26913.0,59311745.0,236.0,218496467,3.68,18695.110842
1965,2016,9475.0,19315810.0,386.0,62283630,3.22,18695.110842
1969,2016,36388.0,78627555.0,622.0,280780097,3.57,18695.110842
1972,2016,2961.0,6174978.0,15.0,33189338,5.37,18695.110842
1976,2016,7979.0,16071962.0,28.0,342660769,21.32,18695.110842
