,period,value,GDP
256,2021,378012.0,23315.08056
259,2021,449988.0,23315.08056
260,2021,2131.0,23315.08056
261,2021,67086.0,23315.08056
262,2021,205.0,23315.08056
263,2021,53711.0,23315.08056
264,2021,2537691.0,23315.08056
265,2021,3048.0,23315.08056
266,2021,229.0,23315.08056
267,2021,61732.0,23315.08056
268,2021,3711.0,23315.08056
269,2021,2123.0,23315.08056
270,2021,14548.0,23315.08056
271,2021,10667941.0,23315.08056
274,2021,1270.0,23315.08056
275,2021,200.0,23315.08056
276,2021,29263.0,23315.08056
280,2021,5289.0,23315.08056
281,2021,1806856.0,23315.08056
282,2021,45501.0,23315.08056
286,2021,161.0,23315.08056
287,2021,1897.0,23315.08056
288,2021,401172.0,23315.08056
294,2021,166302.0,23315.08056
295,2021,15.0,23315.08056
296,2021,888.0,23315.08056
298,2021,1763.0,23315.08056
300,2021,791983.0,23315.08056
304,2021,220644.0,23315.08056
305,2021,9708.0,23315.08056
306,2021,25191.0,23315.08056
307,2021,27569.0,23315.08056
308,2021,2612917.0,23315.08056
310,2021,19.0,23315.08056
311,2021,1312.0,23315.08056
312,2021,7442654.0,23315.08056
313,2021,320.0,23315.08056
314,2021,6605.0,23315.08056
315,2021,12060.0,23315.08056
317,2021,44474.0,23315.08056
319,2021,1.0,23315.08056
322,2021,44307.0,23315.08056
323,2021,63650.0,23315.08056
324,2021,1045814.0,23315.08056
329,2021,41.0,23315.08056
330,2021,42425.0,23315.08056
331,2021,70373.0,23315.08056
332,2021,45501.0,23315.08056
334,2021,1146399.0,23315.08056
335,2021,2131.0,23315.08056
336,2021,4.0,23315.08056
338,2021,2313874.0,23315.08056
339,2021,47.0,23315.08056
341,2021,133136.0,23315.08056
342,2021,5000.0,23315.08056
343,2021,3088415.0,23315.08056
344,2021,1399.0,23315.08056
345,2021,19175.0,23315.08056
346,2021,257960.0,23315.08056
347,2021,397641.0,23315.08056
349,2021,2784.0,23315.08056
350,2021,356491.0,23315.08056
351,2021,794767.0,23315.08056
354,2021,96044.0,23315.08056
355,2021,205.0,23315.08056
357,2021,41827.0,23315.08056
358,2021,327.0,23315.08056
363,2021,1.0,23315.08056
365,2021,86824.0,23315.08056
366,2021,113372.0,23315.08056
368,2021,74525.0,23315.08056
369,2021,2571834.0,23315.08056
371,2021,6.0,23315.08056
372,2021,3797.0,23315.08056
374,2021,8979.0,23315.08056
375,2021,141360.0,23315.08056
376,2021,3486056.0,23315.08056
377,2021,1075358.0,23315.08056
378,2021,582204.0,23315.08056
379,2021,19622.0,23315.08056
